Company_Name,Date,Sales,Expenses,Operating_Profits,Net_Profit,Other_Income,Interest,Depriciation,Profit_Before_Tax,Tax_Percent,OPM_Percent,Divident_Payout,EPS,prev_price,prev_eps,Price
TITAN,Mar-21,21644,19919,1725,973,180,203,375,1327,27%,8%,37%,10.96,1173,16.91,1621
TORNTPHARM,Mar-11,2195,1807,389,270,55,39,63,342,21%,18%,25%,15.97,203,13.66,295
TORNTPHARM,Mar-12,2691,2189,502,284,-22,39,82,359,20%,19%,25%,16.79,295,15.97,275
TORNTPHARM,Mar-13,3203,2506,697,433,1,34,83,582,25%,22%,45%,25.58,275,16.79,381
TORNTPHARM,Mar-14,4172,3216,955,664,34,59,87,844,21%,23%,25%,39.23,381,25.58,578
TORNTPHARM,Mar-15,4636,3616,1020,751,286,175,191,940,20%,22%,25%,44.38,578,39.23,1205
TORNTPHARM,Mar-16,6687,3954,2733,1733,32,184,238,2343,26%,41%,34%,102.42,1205,44.38,1482
TORNTPHARM,Mar-17,5816,4438,1377,934,223,206,307,1088,14%,24%,25%,55.17,1482,102.42,1384
TORNTPHARM,Mar-18,5950,4601,1349,678,299,308,409,931,27%,23%,35%,40.07,1384,55.17,1433
TORNTPHARM,Mar-19,7673,5690,1983,436,-300,504,618,562,22%,26%,66%,25.78,1433,40.07,1890
TORNTPHARM,Mar-20,7939,5769,2170,1025,121,451,654,1187,14%,27%,53%,60.55,1890,25.78,1912
TORNTPHARM,Mar-21,8005,5519,2486,1252,57,358,658,1526,18%,31%,47%,73.98,1912,60.55,2872
ULTRACEMCO,Mar-11,13646,10950,2696,1367,154,292,813,1745,22%,20%,12%,49.9,1003,41.5,1099
ULTRACEMCO,Mar-12,18551,14357,4194,2403,371,256,963,3345,28%,23%,9%,87.69,1099,49.9,1189
ULTRACEMCO,Mar-13,20514,15674,4839,2678,304,252,1023,3867,30%,24%,9%,97.66,1189,87.69,2046
ULTRACEMCO,Mar-14,20730,16695,4035,2206,322,361,1139,2858,23%,19%,11%,80.44,2046,97.66,1998
ULTRACEMCO,Mar-15,23306,18881,4425,2098,350,587,1203,2986,30%,19%,12%,76.47,1998,80.44,2775
ULTRACEMCO,Mar-16,25153,20252,4901,2478,464,566,1377,3421,28%,19%,11%,90.3,2775,76.47,2828
ULTRACEMCO,Mar-17,25375,20162,5212,2715,648,640,1348,3872,30%,21%,10%,98.9,2828,90.3,3399
ULTRACEMCO,Mar-18,30979,24834,6145,2222,242,1238,1848,3301,33%,20%,13%,80.92,3399,98.9,4412
ULTRACEMCO,Mar-19,41462,34115,7347,2404,350,1778,2451,3468,31%,18%,13%,87.51,4412,80.92,3985
ULTRACEMCO,Mar-20,42430,33184,9246,5755,651,1992,2723,5183,-11%,22%,7%,199.4,3985,87.51,4464
ULTRACEMCO,Mar-21,44726,33158,11568,5463,619,1486,2700,8001,32%,26%,20%,189.26,4464,199.4,5613
UPL,Mar-13,9186,7531,1654,775,72,429,354,944,22%,18%,14%,11.67,89,8.02,93
UPL,Mar-14,10771,8753,2018,950,30,485,407,1157,19%,19%,18%,14.77,93,11.67,127
UPL,Mar-15,12091,9728,2363,1144,-11,517,425,1410,17%,20%,19%,17.79,127,14.77,236
UPL,Mar-16,14048,11700,2348,940,149,704,676,1117,15%,17%,23%,14.62,236,17.79,296
UPL,Mar-17,16312,13346,2966,1727,363,735,672,1922,10%,18%,20%,22.71,296,14.62,451
UPL,Mar-18,17378,13966,3412,2022,351,783,675,2305,12%,20%,20%,26.51,451,22.71,525
UPL,Mar-19,21837,18024,3813,1491,-197,963,880,1773,11%,17%,27%,19.52,525,26.51,524
UPL,Mar-20,35756,28984,6772,1776,-515,1481,2012,2764,21%,19%,26%,23.24,524,19.52,614
UPL,Mar-21,38694,30342,8352,2871,62,2060,2173,4181,16%,22%,27%,37.58,614,23.24,506
VEDL,Mar-11,10136,5008,5129,4222,615,87,96,5560,24%,51%,7%,48.58,421,31.64,346
VEDL,Mar-12,8978,5478,3500,2696,168,433,106,3129,33%,39%,13%,31.01,346,48.58,169
VEDL,Mar-14,66152,46557,19595,6299,1874,5094,6882,9493,-9%,30%,15%,21.25,205,26.24,189
VEDL,Mar-15,73710,51595,22114,-15646,-19222,5659,7159,-9925,-15%,30%,-8%,-52.77,189,21.25,225
VEDL,Mar-16,64262,82741,-18479,-12270,4290,5778,8572,-28540,37%,-29%,-8%,-41.39,225,-52.77,93
VEDL,Mar-17,72225,50849,21376,6958,4423,5855,6292,13652,17%,30%,83%,23.47,93,-41.39,233
VEDL,Mar-18,91866,66989,24877,10342,6087,5112,6283,19569,30%,27%,76%,27.82,233,23.47,346
VEDL,Mar-19,92048,68877,23171,7065,4270,5689,8192,13560,28%,25%,99%,19.01,346,27.82,198
VEDL,Mar-20,84447,63704,20743,-6664,-14932,4977,9093,-8259,43%,25%,-22%,-17.93,198,19.01,163
VEDL,Mar-21,88021,60703,27318,11602,2743,5210,7638,17213,13%,31%,30%,31.21,163,-17.93,189
VEDL,Mar-22,2749,2283,465,2280,33,475,197,-174,25%,17%,0%,26.24,169,31.01,205
WIPRO,Mar-11,31038,24592,6446,5292,771,193,789,6235,16%,21%,28%,8.09,159,7.1,186
WIPRO,Mar-12,37188,30156,7032,5604,1268,344,975,6981,20%,19%,26%,8.55,186,8.09,159
WIPRO,Mar-13,37430,29773,7657,6150,1440,289,940,7869,21%,20%,28%,9.36,159,8.55,158
WIPRO,Mar-14,43424,33788,9635,7947,1922,383,1060,10114,21%,22%,25%,12.08,158,9.36,225
WIPRO,Mar-15,46951,36652,10299,8661,2450,350,1175,11224,22%,22%,34%,13.15,225,12.08,211
WIPRO,Mar-16,51244,40448,10796,8908,2752,558,1496,11494,22%,21%,17%,13.52,211,13.15,211
WIPRO,Mar-17,55448,44128,11321,8493,2623,594,2310,11039,23%,20%,6%,13.1,211,13.52,182
WIPRO,Mar-18,54487,44100,10387,8003,2550,583,2112,10242,22%,19%,6%,13.27,182,13.1,243
WIPRO,Mar-19,59019,47406,11613,9004,2614,738,1947,11542,22%,20%,7%,14.92,243,13.27,249
WIPRO,Mar-20,61138,48795,12342,9722,2728,733,2086,12252,20%,20%,6%,17.02,249,14.92,256
WIPRO,Mar-21,61935,47164,14771,10796,2404,509,2763,13903,22%,24%,5%,19.7,256,17.02,432
